Caudovirales,Podoviridae,,N4likevirus,1,Escherichia phage N4
Caudovirales,Podoviridae,,P22likevirus,1,Enterobacteria phage P22
Caudovirales,Podoviridae,,P22likevirus,0,Salmonella phage HK620
Caudovirales,Podoviridae,,P22likevirus,0,Salmonella phage ST64T
Caudovirales,Podoviridae,,P22likevirus,0,Shigella phage Sf6
Caudovirales,Podoviridae,,Phieco32likevirus,1,Enterobacteria phage Phieco32
Caudovirales,Podoviridae,,Unassigned,0,Endosymbiont phage APSE-1
Caudovirales,Podoviridae,,Unassigned,0,Lactococcus phage KSY1
Caudovirales,Podoviridae,,Unassigned,0,Phormidium phage Pf-WMP3
Caudovirales,Podoviridae,,Unassigned,0,Phormidium phage Pf-WMP4
Caudovirales,Podoviridae,,Unassigned,0,Pseudomonas phage 119X
Caudovirales,Podoviridae,,Unassigned,0,Pseudomonas phage F116
Caudovirales,Podoviridae,,Unassigned,0,Roseobacter phage SIO1
Caudovirales,Podoviridae,,Unassigned,0,Vibrio phage VpV262
Caudovirales,Siphoviridae,,C2likevirus,0,Lactococcus phage bIL67
Caudovirales,Siphoviridae,,C2likevirus,1,Lactococcus phage c2
Caudovirales,Siphoviridae,,L5likevirus,0,Mycobacterium phage D29
Caudovirales,Siphoviridae,,L5likevirus,1,Mycobacterium phage L5
Caudovirales,Siphoviridae,,Lambdalikevirus,0,Enterobacteria phage HK022
Caudovirales,Siphoviridae,,Lambdalikevirus,0,Enterobacteria phage HK97
Caudovirales,Siphoviridae,,Lambdalikevirus,1,Enterobacteria phage lambda
Caudovirales,Siphoviridae,,N15likevirus,1,Enterobacteria phage N15
Caudovirales,Siphoviridae,,Phic3unalikevirus,1,Streptomyces phage phiC31
Caudovirales,Siphoviridae,,Psimunalikevirus,1,Methanobacterium phage psiM1
Caudovirales,Siphoviridae,,Spbetalikevirus,1,Bacillus phage SPbeta
Caudovirales,Siphoviridae,,T5likevirus,1,Enterobacteria phage T5
Caudovirales,Siphoviridae,,T5likevirus,0,Escherichia phage Akfv33
Caudovirales,Siphoviridae,,T5likevirus,0,Escherichia phage Bf23
Caudovirales,Siphoviridae,,T5likevirus,0,Escherichia phage Eps7
Caudovirales,Siphoviridae,,T5likevirus,0,Escherichia phage H8
Caudovirales,Siphoviridae,,T5likevirus,0,Escherichia phage T5
Caudovirales,Siphoviridae,,T5likevirus,0,Salmonella phage Spc35
Caudovirales,Siphoviridae,,T5likevirus,0,Vibrio phage 149 (type IV)
Caudovirales,Siphoviridae,,Tunalikevirus,0,Cronobacter phage Esp2949-1
Caudovirales,Siphoviridae,,Tunalikevirus,0,Enterobacter phage F20
Caudovirales,Siphoviridae,,Tunalikevirus,1,Enterobacteria phage T1
Caudovirales,Siphoviridae,,Tunalikevirus,0,Escherichia phage Eb49
Caudovirales,Siphoviridae,,Tunalikevirus,0,Escherichia phage Jk06
Caudovirales,Siphoviridae,,Tunalikevirus,0,Escherichia phage Rogue1
Caudovirales,Siphoviridae,,Tunalikevirus,0,Escherichia phage Rtp
Caudovirales,Siphoviridae,,Tunalikevirus,0,Escherichia phage Tls
Caudovirales,Siphoviridae,,Tunalikevirus,0,Shigella phage Shfl1
Caudovirales,Siphoviridae,,Yualikevirus,0,Phage phiJl001
Caudovirales,Siphoviridae,,Yualikevirus,0,Pseudomonas phage M6
Caudovirales,Siphoviridae,,Yualikevirus,1,Pseudomonas phage Yua
Herpesvirales,Alloherpesviridae,,Batrachovirus,1,Ranid herpesvirus 1
Herpesvirales,Alloherpesviridae,,Batrachovirus,0,Ranid herpesvirus 2
Herpesvirales,Alloherpesviridae,,Cyprinivirus,0,Anguillid herpesvirus 1
Herpesvirales,Alloherpesviridae,,Cyprinivirus,0,Cyprinid herpesvirus 1
Herpesvirales,Alloherpesviridae,,Cyprinivirus,0,Cyprinid herpesvirus 2
Herpesvirales,Alloherpesviridae,,Cyprinivirus,1,Cyprinid herpesvirus 3
Herpesvirales,Alloherpesviridae,,Ictalurivirus,0,Acipenserid herpesvirus 2
Herpesvirales,Alloherpesviridae,,Ictalurivirus,1,Ictalurid herpesvirus 1
Herpesvirales,Alloherpesviridae,,Ictalurivirus,0,Ictalurid herpesvirus 2
Herpesvirales,Alloherpesviridae,,Salmonivirus,1,Salmonid herpesvirus 1
Herpesvirales,Alloherpesviridae,,Salmonivirus,0,Salmonid herpesvirus 2
Herpesvirales,Alloherpesviridae,,Salmonivirus,0,Salmonid herpesvirus 3
Herpesvirales,Herpesviridae,Alphaherpesvirinae,Iltovirus,1,Gallid herpesvirus 1
Herpesvirales,Herpesviridae,Alphaherpesvirinae,Iltovirus,0,Psittacid herpesvirus 1
Herpesvirales,Herpesviridae,Alphaherpesvirinae,Mardivirus,0,Anatid herpesvirus 1
Herpesvirales,Herpesviridae,Alphaherpesvirinae,Mardivirus,0,Columbid herpesvirus 1
Herpesvirales,Herpesviridae,Alphaherpesvirinae,Mardivirus,1,Gallid herpesvirus 2
Herpesvirales,Herpesviridae,Alphaherpesvirinae,Mardivirus,0,Gallid herpesvirus 3
Herpesvirales,Herpesviridae,Alphaherpesvirinae,Mardivirus,0,Meleagrid herpesvirus 1
Herpesvirales,Herpesviridae,Alphaherpesvirinae,Scutavirus,1,Chelonid herpesvirus 5
Herpesvirales,Herpesviridae,Alphaherpesvirinae,Simplexvirus,0,Ateline herpesvirus 1
Herpesvirales,Herpesviridae,Alphaherpesvirinae,Simplexvirus,0,Bovine herpesvirus 2
Herpesvirales,Herpesviridae,Alphaherpesvirinae,Simplexvirus,0,Cercopithecine herpesvirus 2
Herpesvirales,Herpesviridae,Alphaherpesvirinae,Simplexvirus,1,Human herpesvirus 1
Herpesvirales,Herpesviridae,Alphaherpesvirinae,Simplexvirus,0,Human herpesvirus 2
Herpesvirales,Herpesviridae,Alphaherpesvirinae,Simplexvirus,0,Leporid herpesvirus 4
Herpesvirales,Herpesviridae,Alphaherpesvirinae,Simplexvirus,0,Macacine herpesvirus 1
Herpesvirales,Herpesviridae,Alphaherpesvirinae,Simplexvirus,0,Macropodid herpesvirus 1
Herpesvirales,Herpesviridae,Alphaherpesvirinae,Simplexvirus,0,Macropodid herpesvirus 2
Herpesvirales,Herpesviridae,Alphaherpesvirinae,Simplexvirus,0,Papiine herpesvirus 2
